
2024-05-24 11:50:38,797 INFO: API called with data: {}
2024-05-24 11:50:38,797 ERROR: Missing required data fields
2024-05-25 21:40:19,753 INFO: API called with data: {}
2024-05-25 21:40:19,753 ERROR: Missing required data fields
2024-05-26 00:14:34,288 ERROR: Invalid sensor data format
2024-05-26 00:15:31,171 ERROR: Invalid sensor data format
2024-05-29 10:53:05,101 ERROR: Failed to store data: the JSON object must be str, bytes or bytearray, not dict
2024-05-29 10:54:29,253 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [240], 'IMEI': '123456789012345'}
2024-05-29 10:54:29,270 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [240], "IMEI": "123456789012345"}
2024-05-29 10:55:21,554 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [73], 'IMEI': '123456789012345'}
2024-05-29 10:55:21,570 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [73], "IMEI": "123456789012345"}
2024-05-29 10:55:50,183 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [19], 'IMEI': '123456789012345'}
2024-05-29 10:55:50,197 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [19], "IMEI": "123456789012345"}
2024-05-29 10:57:08,366 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [23], 'IMEI': '123456789012345'}
2024-05-29 10:57:08,376 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [23], "IMEI": "123456789012345"}
2024-05-29 11:06:17,487 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [13], 'IMEI': '123456789012345'}
2024-05-29 11:06:17,503 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [13], "IMEI": "123456789012345"}
2024-05-29 11:06:32,068 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [69], 'IMEI': '123456789012345'}
2024-05-29 11:06:32,078 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [69], "IMEI": "123456789012345"}
2024-05-29 11:06:40,674 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [89], 'IMEI': '123456789012345'}
2024-05-29 11:06:40,689 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [89], "IMEI": "123456789012345"}
2024-05-29 11:06:45,683 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [86], 'IMEI': '123456789012345'}
2024-05-29 11:06:45,693 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [86], "IMEI": "123456789012345"}
2024-05-29 11:06:56,507 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [86], 'IMEI': '123456789012345'}
2024-05-29 11:06:56,522 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [86], "IMEI": "123456789012345"}
2024-05-29 11:07:11,649 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [115], 'IMEI': '123456789012345'}
2024-05-29 11:07:11,663 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [115], "IMEI": "123456789012345"}
2024-05-29 11:08:49,024 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [105], 'IMEI': '123456789012345'}
2024-05-29 11:08:49,040 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [105], "IMEI": "123456789012345"}
2024-05-29 11:08:51,598 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [10], 'IMEI': '123456789012345'}
2024-05-29 11:08:51,615 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [10], "IMEI": "123456789012345"}
2024-05-29 11:51:58,060 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [200], 'IMEI': '123456789012345'}
2024-05-29 11:51:58,068 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [200], "IMEI": "123456789012345"}
2024-05-29 11:52:03,467 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [200], 'IMEI': '123456789012345'}
2024-05-29 11:52:03,477 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [200], "IMEI": "123456789012345"}
2024-05-29 11:52:07,081 INFO: API called with data: {'D': '2024-05-29', 'address': 1, 'data': [210], 'IMEI': '123456789012345'}
2024-05-29 11:52:07,091 INFO: Data stored successfully: {"D": "2024-05-29", "address": 1, "data": [210], "IMEI": "123456789012345"}
